stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1556456978.814728975,0.00929172276923,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.824933052,0.0187108707692,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.834661960,0.0276914012308,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.844551086,0.0368198252308,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.854464054,0.0459702572308,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.866081953,0.0566944716923,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.874205112,0.0641927723077,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.884584903,0.0737741178462,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.894560098,0.0829819901538,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.904666900,0.0923113458462,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.912431955,0.0994790889231,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.924567937,0.110681533846,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.934580087,0.119923518462,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.944269895,0.128867956615,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.955002069,0.138774578769,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.962552070,0.145743810462,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.974389076,0.156670277538,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.984469890,0.165975644308,0,0,0,0,0.0,0.0,0.0,0.0
1556456978.994877099,0.175582298769,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.4601955,0.184559088923,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.13123989,0.192425581846,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.24930953,0.203324317846,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.34760951,0.212398162154,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.44717073,0.221588428615,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.54469108,0.230590307077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.62408924,0.237919368,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.74625968,0.249196639385,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.84630012,0.258431141538,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.94185113,0.267251234769,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.104264020,0.276554841231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.112308979,0.283980957231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.124969005,0.295667135077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.134510993,0.304475124,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.145030021,0.314184996,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.154520988,0.322945888615,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.164495944,0.332153540308,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.174545049,0.341429637231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.184456110,0.350578308923,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.194550037,0.35989578,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.206165075,0.370617353538,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.214572906,0.378378428308,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.225636959,0.388591400308,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.234919071,0.397159503692,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.244762897,0.406246112308,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.252861022,0.413721304615,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.264389991,0.424363429846,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.274164915,0.433386436615,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.284401893,0.442835954769,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.294390916,0.452056591385,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.302556991,0.459594506769,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.314282894,0.470418417231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.324309110,0.479673385846,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.334505081,0.489085051385,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.344433069,0.498249348,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.352632045,0.505817633538,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.364459991,0.516735737538,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.374248027,0.525770847692,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.384155988,0.534916657846,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.394314050,0.544293330462,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.402411937,0.551768303077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.414186954,0.562637549538,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.424309968,0.571981870154,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.434617996,0.581496972923,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.444363117,0.590492469231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.452663898,0.598154728615,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.465691089,0.610179828,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.474720954,0.618515088,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.484366893,0.627419031692,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.494486093,0.636759831692,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.502211093,0.643890600923,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.514309883,0.655058714769,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.524262905,0.664246119692,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.534338951,0.673547085231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.544467926,0.682896908308,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.552597999,0.690401591077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.564451932,0.701343683077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.574363946,0.710493234462,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.584368944,0.719728617231,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.594458103,0.729041687077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.600364923,0.734494136308,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.614432096,0.747479219077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.624694108,0.756951845538,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.634696006,0.766184366769,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.644449949,0.775188006462,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.655153036,0.785067779077,0,0,0,0,0.0,0.0,0.0,0.0
1556456979.664658069,0.793841655692,0,0,0,0,0.0,0.0,0.0,0.0
