stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1555274537.769185066,0.00921337476923,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.779345989,0.0185926883077,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.788989067,0.0274939910769,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.799169063,0.0368909104615,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.809413909,0.0463476913846,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.819224119,0.0554032698462,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.829374074,0.0647724590769,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.839235067,0.0738749141538,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.849189996,0.0830640793846,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.859173059,0.0922792144615,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.869215011,0.101548708615,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.879311084,0.110868160615,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.889192104,0.119989102154,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.899184942,0.129213260308,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.909120082,0.138384158769,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.919236898,0.147722758154,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.929320096,0.157030325538,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.939181089,0.166132780615,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.949665069,0.175810300615,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.959872961,0.185232970154,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.970032930,0.194611403077,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.981834888,0.205505518154,0,0,0,0,0.0,0.0,0.0,0.0
1555274537.990822076,0.213801384,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.329017,0.222577021846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.9300947,0.230858803385,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.19758939,0.240512334462,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.29915094,0.249887246769,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.39499044,0.258733969846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.50389051,0.268786284,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.60689926,0.278294784,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.71347951,0.288132960923,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.81679105,0.297669410769,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.90435981,0.305752680923,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.101275920,0.315758778462,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.112004995,0.32566254,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.122924089,0.335741703692,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.145308971,0.356404671692,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.166094064,0.375590911385,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.176820993,0.385492692,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.187758922,0.395589241846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.198438882,0.405447666462,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.209372043,0.415539815077,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.220096111,0.425438954769,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.230938911,0.435447693231,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.241897106,0.445562950154,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.252499103,0.455349408923,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.264091014,0.466049634462,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.274447917,0.475609852615,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.284856081,0.485217388615,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.296509981,0.495974834769,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.306047916,0.504779082462,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.319900035,0.517565653846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.327608108,0.524680798154,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.338597059,0.534824445231,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.349240064,0.544648757538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.359997034,0.554578268308,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.370815038,0.564564118154,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.382494926,0.575345553231,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.392416954,0.584504348308,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.404249906,0.595427073231,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.414006948,0.604433573538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.424783945,0.614381570769,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.435566902,0.624335069538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.446388959,0.634324660615,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.457246065,0.644346604615,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.468048095,0.654317709231,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.478817939,0.664259103692,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.489737987,0.674339148,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.500375032,0.684157958769,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.511894941,0.694791720923,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.522659063,0.704727833538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.532766103,0.714057408923,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.543592929,0.724051402154,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.554405927,0.734032631077,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.565315008,0.744102552,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.576003074,0.753968459077,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.586760997,0.763898849538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.597758054,0.774049979077,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.608402967,0.783876052615,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.619321107,0.793954335692,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.630125045,0.803927201538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.640978097,0.813945403385,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.651542901,0.823697530154,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.662339925,0.833664013846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.673136949,0.843630497538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.683929920,0.85359324,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.694739103,0.863570947385,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.705451965,0.873459743077,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.716331005,0.883501933846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.727235078,0.893567232,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.737957954,0.903465271385,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.748872041,0.913539813231,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.759531974,0.923379751385,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.770361900,0.933376606154,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.781229019,0.943407792923,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.802756071,0.963278917846,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.813494920,0.973191701538,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.824289083,0.983155544308,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.835076093,0.993112784308,0,0,0,0,0.0,0.0,0.0,0.0
1555274538.845870018,1.00307640738,0,0,0,0,0.0,0.0,0.0,0.0
