stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1555291282.383387088,0.00947372676923,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.395242929,0.02041758,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.404890060,0.029322624,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.415777921,0.0393729572308,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.426172018,0.0489675083077,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.436979055,0.0589432347692,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.459553956,0.0797816049231,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.469404935,0.0888748163077,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.480333089,0.0989623430769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.492089033,0.109813983692,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.502073049,0.119029998462,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.512715101,0.128853431077,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.524435997,0.139672719692,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.534384012,0.148855502769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.545984983,0.159564091385,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.555973052,0.168783847385,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.566687107,0.178673744308,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.577769041,0.188903221846,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.588346958,0.198667452923,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.600142955,0.209556065538,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.610526084,0.219140492308,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.621217012,0.229009041231,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.631937026,0.238904438769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.642817974,0.248948390769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.653861045,0.259141994769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.664401054,0.268871233846,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.675240039,0.278876450769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.686996936,0.289728971077,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.697598934,0.299515430769,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.707626104,0.30877128,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.718918085,0.319194647077,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.729348897,0.328823088923,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.740096092,0.338743576615,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.750924110,0.348738670154,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.762988090,0.359874651692,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.772186994,0.368365947692,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.783449888,0.378762465231,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.793838024,0.388351513846,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.804722070,0.398398325538,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.815401077,0.408255870462,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.826189041,0.418213991077,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.837414979,0.428576395385,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.847826004,0.438186572308,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.858762025,0.448281360923,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.869560956,0.458249604923,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.880316019,0.468177355385,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.891443967,0.478449307385,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.901906967,0.488107461231,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.912919998,0.498273336,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.923525094,0.508062655385,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.934387922,0.518089881231,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.945122003,0.527998263692,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.956788063,0.538766934462,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.966810941,0.548018821846,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.977596998,0.557975182154,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.988677024,0.568202898462,0,0,0,0,0.0,0.0,0.0,0.0
1555291282.999553918,0.578243108308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.10092973,0.587971466769,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.21667003,0.598655186769,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.31621932,0.607844352,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.42445898,0.617835705231,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.53237915,0.627797567077,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.64285039,0.637994912308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.75031042,0.647914299692,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.85613965,0.657683151692,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.97295045,0.668465687077,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.107517957,0.677902221231,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.118240118,0.687799600615,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.129065036,0.697791832615,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.139827013,0.707725965231,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.150585889,0.717657235385,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.161360025,0.727602591692,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.172168016,0.737579198769,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.183497905,0.748037557846,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.194041967,0.757770538154,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.204870939,0.767766512308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.215461015,0.777541967077,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.226316928,0.787562809846,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.247989892,0.807568622769,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.269582033,0.827499829846,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.280299901,0.837393246462,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.291115045,0.847376456308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.302362918,0.857759108308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.312853097,0.867442350462,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.334500074,0.887424175385,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.357547998,0.908699182154,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.366940975,0.917369622462,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.377675056,0.927278004923,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.388477087,0.937249110462,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.399295091,0.947234960308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.410041093,0.957154346769,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.421511888,0.967742772923,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.431968927,0.977395424308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.442548990,0.987161636308,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.453353881,0.997135381846,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.464267015,1.007209044,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.476546049,1.01854353692,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.488917112,1.02996297969,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.499474048,1.03970784369,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.509825944,1.04926344,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.519756078,1.05842971754,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.529783010,1.06768534708,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.540441989,1.07752440462,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.550637006,1.08693518954,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.561489105,1.09695251169,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.574614048,1.10906784369,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.583172082,1.11696756738,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.594788074,1.12769002154,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.604800939,1.13693266615,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.615525960,1.14683268554,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.626296997,1.15677518123,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.637115001,1.16676103108,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.649188995,1.17790625631,0,0,0,0,0.0,0.0,0.0,0.0
1555291283.659450054,1.18737800308,0,0,0,0,0.0,0.0,0.0,0.0
