stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1555254597.655710935,0.0102959409231,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.666440010,0.0201997024615,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.676973104,0.0299225584615,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.689574003,0.0415541575385,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.699887990,0.0510747609231,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.710943937,0.0612802504615,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.720052957,0.0696885766154,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.730793952,0.0796033412308,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.741621971,0.0895984356923,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.752705097,0.0998290135385,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.763647079,0.109929304615,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.774786949,0.120212261538,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.784785985,0.129442140923,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.795862913,0.139666997538,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.806824922,0.149785775077,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.817555904,0.159691296923,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.828308105,0.169616405538,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.839102029,0.179580027692,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.849859952,0.189510418154,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.860611915,0.199435307077,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.871395111,0.209389026462,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.882230043,0.219390502154,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.893019914,0.229350383077,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.903961896,0.239450674154,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.914556980,0.249230751692,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.925347089,0.259190852308,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.936148881,0.269161737231,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.947035074,0.279210530769,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.958287954,0.289597804615,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.968657970,0.299170127077,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.979388952,0.309075648923,0,0,0,0,0.0,0.0,0.0,0.0
1555254597.990688085,0.319505617846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.1665115,0.329638260923,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.11677026,0.338880024923,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.22491931,0.348863014154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.33252954,0.358796266154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.44064998,0.368776614462,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.54836988,0.378719989846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.65650939,0.388702098462,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.76812028,0.399004642154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.87271928,0.408659934462,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.98517894,0.419040826154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.108860015,0.428587399385,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.119760990,0.438649837846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.130357027,0.448430795077,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.141185045,0.458425888615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.151959896,0.468371904923,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.163613080,0.479128690154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.173520088,0.488273620615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.183989048,0.497937276,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.195708990,0.508755684,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.205605030,0.517890490154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.217267036,0.528655418769,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.227564096,0.538160397231,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.238327980,0.548096290154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.249295949,0.558220569231,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.260154008,0.568243392923,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.271039962,0.578291965846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.281423091,0.587876392615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.292915105,0.598484405538,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.303002119,0.607795495385,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.313786983,0.617750754462,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.324688911,0.627814072615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.335813045,0.638082504,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.346152067,0.647626216615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.357228040,0.657850191692,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.367878913,0.667681766769,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.378304958,0.677305808308,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.389081954,0.687253804615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.400300025,0.697608947077,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.410644054,0.707157281538,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.421869039,0.717518806154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.432198047,0.727053275077,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.442977905,0.737003913231,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.453748941,0.746946408,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.464556932,0.756923015077,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.475353002,0.766888618154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.486109018,0.776817248308,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.496967077,0.786840072,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.508167982,0.797179368923,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.519149065,0.807315753231,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.529340028,0.816722796,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.540281057,0.826822207385,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.550837039,0.836566190769,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.561660051,0.846556663385,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.572428941,0.856497177231,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.583240032,0.866476645846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.594005107,0.876413638154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.604815959,0.886392886154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.615596055,0.896343744,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.626399993,0.906316609846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.637550115,0.916609030154,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.648061037,0.926311419692,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.658819913,0.936242689846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.669922113,0.946490874462,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.680670976,0.956412901846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.691234111,0.966163488,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.702219963,0.976304274462,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.713001966,0.986256892615,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.723793029,0.996217873846,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.735471963,1.00699842831,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.746586084,1.01725761692,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.756212949,1.02614395385,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.767059087,1.03615577354,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.777873992,1.04613876277,0,0,0,0,0.0,0.0,0.0,0.0
1555254598.788609027,1.05604802585,0,0,0,0,0.0,0.0,0.0,0.0
