time,ax,ay,vx,vy,px,py,gz,yaw
22.333004292,-0.0155517537637,0,0.00867567896615,-0.00128086930266,0.0105834616071,-0.000646605879124,0.42724609375,356.52080573
22.3429514077,-0.015551878281,0,0.00852098263366,-0.00128086930266,0.0106682208072,-0.000659346834265,0.42724609375,356.525055597
22.3537180975,-0.0155520129612,0,0.00835353893362,-0.00128086930266,0.01075816077,-0.00067313755678,0.42724609375,356.529655623
22.3628326569,-0.01775271183,0,0.00819173078741,-0.00128086930266,0.0108328247867,-0.000684812116103,0.244140625,356.531880857
22.3733585797,-0.0177529685008,0,0.00800486441205,-0.00128086930266,0.0109170833713,-0.00069829444746,0.244140625,356.534450662
22.3839322606,-0.0177532263002,0,0.00781714746179,-0.00128086930266,0.0109997393943,-0.000711837950771,0.244140625,356.537032128
22.3937262028,-0.0177534650564,0,0.007643271052,-0.00128086930266,0.0110745971488,-0.000724382710627,0.244140625,356.539423227
22.4038559843,-0.0112407205884,0.00826168057026,0.00752940500811,-0.00119718028334,0.0111508683767,-0.00073650988536,0.1220703125,356.540659772
22.4127443022,-0.0112408770363,0.00826146770531,0.00742949252014,-0.0011237497325,0.0112169040676,-0.000746498130162,0.1220703125,356.541744772
22.4228760646,-0.0112410553659,0.00826122505767,0.00731560081735,-0.00104004896258,0.0112910239974,-0.000757035659199,0.1220703125,356.542981559
22.4326468985,-0.0112412273377,0.00826099105034,0.00720576465281,-0.00095933219162,0.0113614303265,-0.000766409134647,0.1220703125,356.544174288
22.4429630871,-0.0088631267999,0.0071390389007,0.00711433096502,-0.000885684519788,0.0114348231066,-0.000775546023207,0.0,356.544174288
22.4533081062,-0.0088631267999,0.0071390389007,0.00702264174919,-0.000811831026169,0.0115074724695,-0.000783944430659,0.0,356.544174288
22.4624492945,-0.0088631267999,0.0071390389007,0.00694162223812,-0.000746571727242,0.0115709271455,-0.000790768983403,0.0,356.544174288
22.4724250209,-0.0088631267999,0.0071390389007,0.00685320610957,-0.00067535462797,0.0116392928551,-0.000797506136437,0.0,356.544174288
22.4826489969,0.00326278150389,0.00542846044397,0.00688656470936,-0.000619854178674,0.0117097009274,-0.000803843510683,0.06103515625,356.54479831
22.494059196,0.00326271552137,0.00542850010228,0.00692379294299,-0.000557913911818,0.0117887027832,-0.000810209419484,0.06103515625,356.545494733
22.5029151628,0.00326266430904,0.00542853088232,0.00695268698969,-0.000509839022718,0.0118502755482,-0.000814724536927,0.06103515625,356.546035259
22.5123941714,0.00326260949347,0.00542856382729,0.00698361329319,-0.00045838161943,0.0119164732787,-0.000819069540247,0.06103515625,356.546613812
22.5224335015,0.00290968387657,0,0.00701282457027,-0.00045838161943,0.0119868773399,-0.000823671384661,0.30517578125,356.549677572
22.5326805849,0.00290970679639,0,0.00704264057844,-0.00045838161943,0.0120590438652,-0.000828368459337,0.30517578125,356.552804734
22.5421292234,0.00290972792263,0,0.0070701335456,-0.00045838161943,0.0121258470009,-0.000832699541537,0.30517578125,356.555688229
22.5522083871,0.00290975045054,0,0.00709946139669,-0.00045838161943,0.0121974036345,-0.000837319644912,0.30517578125,356.558764146
22.5620087114,0.00296832202791,0,0.00712855191522,-0.00045838161943,0.0122672657551,-0.00084181193344,0.48828125,356.563549461
22.5719446043,0.0029682749808,0,0.00715804437759,-0.00045838161943,0.0123383873176,-0.000846366364128,0.48828125,356.568400971
22.5827031508,0.00296822401438,0,0.00718997815356,-0.00045838161943,0.0124157410316,-0.000851297884078,0.48828125,356.573654167
22.5919726449,0.00296818008203,0,0.00721749168148,-0.00045838161943,0.0124826435285,-0.000855546849819,0.48828125,356.578180287
22.6015440868,-0.00162228515924,0,0.00720196407342,-0.00045838161943,0.0125515767088,-0.000859934222833,0.54931640625,356.583438037
22.6126384735,-0.00162200929209,0,0.00718396887499,-0.00045838161943,0.0126312784381,-0.000865019685807,0.54931640625,356.589532366
22.6225043815,-0.00162176395622,0,0.007167968701,-0.00045838161943,0.0127019969578,-0.000869542036693,0.54931640625,356.594951871
22.6317435046,-0.00162153419348,0,0.00715298714701,-0.00045838161943,0.0127680842864,-0.000873777080891,0.54931640625,356.600027073
22.6418169462,-0.00873026302464,0,0.00706504335282,-0.00045838161943,0.0128392535876,-0.000878394561337,0.48828125,356.604945746
22.6519302222,-0.00873037086553,0,0.00697675070267,-0.00045838161943,0.0129098113931,-0.000883030301168,0.48828125,356.609883869
22.6616640831,-0.00873047459936,0,0.00689176947713,-0.00045838161943,0.0129768949187,-0.000887492124101,0.48828125,356.614636731
22.6716490532,-0.00873058094684,0,0.00680459488695,-0.00045838161943,0.0130448385955,-0.00089206905089,0.48828125,356.619512204
22.682945472,-0.0121139733605,0,0.00666775037091,-0.00045838161943,0.013120160296,-0.000897247121619,0.42724609375,356.624338555
22.6914950889,-0.012114096849,0,0.00656417948348,-0.00045838161943,0.013176281516,-0.00090116610887,0.42724609375,356.627991346
22.7020579855,-0.0121142493489,0,0.00643621792004,-0.00045838161943,0.0132442666204,-0.000906007946526,0.42724609375,356.632504302
22.7115840914,-0.0121143868158,0,0.00632081498897,-0.00045838161943,0.0133044793731,-0.000910374538351,0.42724609375,356.636574293
22.7215072191,-0.00904673251958,0,0.00623104310698,-0.00045838161943,0.0133663108095,-0.000914923117692,0.30517578125,356.639602592
22.7313000609,-0.00904695155859,0,0.00614244774117,-0.00045838161943,0.0134264628287,-0.000919411976396,0.30517578125,356.64259113
22.7412931735,-0.00904717505173,0,0.00605203830203,-0.00045838161943,0.013486941529,-0.00092399263554,0.30517578125,356.645640786
22.7520092455,-0.00904741468517,0,0.00595508555485,-0.00045838161943,0.0135507566546,-0.000928904685978,0.30517578125,356.648911071
22.7613821769,-0.00939235018748,0.00666363958967,0.005867051701,-0.000395923782784,0.0136057481276,-0.000932615652427,0.18310546875,356.650627306
22.7712249757,-0.00939255979128,0.00666334414483,0.00577460262505,-0.000330337827237,0.0136625863793,-0.000935867101186,0.18310546875,356.652429577
22.7813235065,-0.00939277483128,0.00666304101699,0.00567974939941,-0.00026305090251,0.0137199435033,-0.000938523528819,0.18310546875,356.654278673
22.7914587905,-0.00939299064407,0.00666273677896,0.00558454877162,-0.000195522173038,0.0137765444911,-0.000940505201571,0.18310546875,356.656134499
22.8013172151,-0.000533450033344,0.00761243515621,0.00557928979468,-0.000120475554911,0.013831547499,-0.000941692900747,0.0,356.656134499
22.8125881052,-0.000533450033344,0.00761243515621,0.00557327733795,-3.46766344621e-05,0.0138943632957,-0.000942083737285,0.0,356.656134499
22.8224806422,-0.000533450033344,0.00761243515621,0.0055680001638,4.06296613952e-05,0.0139494449429,-0.00094168180686,0.0,356.656134499
22.8317807271,-0.000533450033344,0.00761243515621,0.00556303903319,0.000111425954819,0.0140011816783,-0.000940645536017,0.0,356.656134499
22.8415550825,-0.00443304945977,0.00784028022628,0.00551970883233,0.000188059640066,0.0140551332741,-0.000938807374262,0.0,356.656134499
22.8526818203,-0.00443304945977,0.00784028022628,0.00547038345313,0.000275296382784,0.0141160007967,-0.000935744223581,0.0,356.656134499
22.861596108,-0.00443304945977,0.00784028022628,0.00543086597489,0.00034518689631,0.0141644130984,-0.000932667128279,0.0,356.656134499
22.8714351655,-0.00443304945977,0.00784028022628,0.00538724894619,0.000422327864574,0.0142174185507,-0.00092851182012,0.0,356.656134499
22.8807543978,-0.00474645944276,0,0.005343015588,0.000422327864574,0.0142672113542,-0.00092457604864,0.30517578125,356.658978503
22.8913901409,-0.00474659981775,0,0.00529253197185,0.000422327864574,0.0143235013645,-0.000920084277978,0.30517578125,356.662224274
22.902541968,-0.00474674698787,0,0.00523959707027,0.000422327864574,0.014381932445,-0.000915374550662,0.30517578125,356.665627542
22.9107555249,-0.00474685537107,0,0.00520060850347,0.000422327864574,0.014424647939,-0.000911905736707,0.30517578125,356.66813412
22.9219920822,0.00451457436801,0,0.00525133677673,0.000422327864574,0.0144836548852,-0.000907160225486,0.6103515625,356.67499237
22.9306928935,0.00451439465841,0,0.00529061567317,0.000422327864574,0.0145296875343,-0.000903485630394,0.6103515625,356.680302924
22.9415502554,0.00451417035226,0,0.00533962765412,0.000422327864574,0.0145876618038,-0.000898900263951,0.6103515625,356.686929732
22.9504513375,0.00451398641655,0,0.00537980701805,0.000422327864574,0.0146355479081,-0.000895141088932,0.6103515625,356.692362521
