stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1556463492.235897064,0.00889580123077,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.245939016,0.0181652953846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.255842924,0.0273073643077,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.265904903,0.0365953449231,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.275774002,0.0457052824615,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.285772085,0.0549342821538,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.295708894,0.0641067212308,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.305779933,0.0734030649231,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.315891027,0.0827363824615,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.325704097,0.0917946009231,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.335788965,0.101103709846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.345535993,0.110100966462,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.355514049,0.119311479692,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.365521907,0.128549502462,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.375632047,0.137881939385,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.385406970,0.146904945231,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.396697998,0.157327432615,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.405333042,0.165298242462,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.415360927,0.174554751692,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.425306081,0.183734893846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.435339927,0.192996905538,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.445332050,0.202220403692,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.455518960,0.211623705231,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.465126037,0.220491776308,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.475101947,0.229700308615,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.485138893,0.238965181846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.495496988,0.248526500308,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.505449056,0.257713024615,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.525098085,0.275850589846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.545305967,0.294504019385,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.554888010,0.303348982154,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.565459012,0.313106830154,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.574907064,0.321828108923,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.584850072,0.331006270154,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.595628023,0.340955148,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.604758024,0.349382841231,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.615782976,0.35955972,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.624697923,0.367788901846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.634632110,0.376958920615,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.644620895,0.386179337538,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.655056953,0.395812621846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.664596080,0.404617969846,0,0,0,0,0.0,0.0,0.0,0.0
1556463492.675556898,0.414735648,0,0,0,0,0.0,0.0,0.0,0.0
