time,ax,ay,vx,vy,px,py,gz,yaw
1555241126.975384950,0.00788035753846,0,0,0,0,0.0,0.0,0.0,0.0
1555241126.981671094,0.013682952,0,0,0,0,0.0,0.0,0.0,0.0
1555241126.988060951,0.0195812815385,0,0,0,0,0.0,0.0,0.0,0.0
1555241126.994236946,0.0252822,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.395059,0.030966612,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.6546020,0.0366444221538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.12701988,0.0423268541538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.18996953,0.0481375910769,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.25510072,0.0541497009231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.31675100,0.059840496,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.37921905,0.0656067775385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.44203042,0.0714047501538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.50719022,0.0774195009231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.57003021,0.0832201153846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.63148975,0.0888933036923,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.69309949,0.0945803566154,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.75700998,0.100479786462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.81944942,0.106243427077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.88207960,0.112024674462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.95138072,0.118421700923,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.101938009,0.124698565846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.108309030,0.130579508308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.114651918,0.136434481846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.120771884,0.142083681231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.127060890,0.147888917538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.133347988,0.153692392615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.139653921,0.159513253846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.145818948,0.165204048,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.152035951,0.17094282,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.158304929,0.176729568923,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.164731979,0.182662230462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.170871019,0.188329036615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.176986932,0.193974494769,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.183181047,0.199692139385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.189459085,0.205487251385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.195643901,0.211196312308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.201777935,0.216858497538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.207988977,0.222591767077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.215162038,0.229213054154,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.222436904,0.235928315077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.229475021,0.242425038462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.236947059,0.249322304308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.244067907,0.255895394769,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.251390933,0.262655111077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.258459091,0.269179564615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.265404939,0.275591116615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.272744894,0.282366459692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.279911041,0.288981364615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.287513017,0.295998573231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.294787883,0.302713834154,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.302047014,0.309414570462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.308819055,0.315665685231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.316595077,0.322843551692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.322818994,0.328588705846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.329000949,0.334295125846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.335179090,0.339998025231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.342125892,0.346410457846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.350120067,0.353789696308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.356606006,0.359776716923,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.363985061,0.366588152308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.371145009,0.373197335077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.377979040,0.379505671385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.384457111,0.385485429231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.391202926,0.391712335385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.397942066,0.39793308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.405011892,0.404459073231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.411806106,0.410730655385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.418777942,0.417166196308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.425376892,0.423257534769,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.431459903,0.428872621846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.437804937,0.434729576308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.444201946,0.440634507692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.450445890,0.446398148308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.456739902,0.452208005538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.462884902,0.457880313231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.469208955,0.463717900615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.475385904,0.469419699692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.481554031,0.475113355385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.487862110,0.480936197538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.494180917,0.486768942462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.500391006,0.492501332308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.506584882,0.498218756308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.512705087,0.503868176308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.519059896,0.509734153846,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.525211095,0.515412183692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.531279087,0.521013407077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.537544965,0.526797294462,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.543816089,0.532586024308,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.551054000,0.539267172923,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.558245897,0.545905847077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.565423011,0.552530875385,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.572387933,0.558960034154,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.578557968,0.564655451077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.585489034,0.571053358154,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.592947959,0.577938519692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.600539922,0.584946485538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.607007980,0.590917000615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.613239049,0.596668756615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.619503021,0.602450884615,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.625646114,0.608121432,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.631928920,0.613920945231,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.638125896,0.619641230769,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.644233942,0.625279427077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.650393009,0.630964719692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.656701087,0.636787560923,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.662849903,0.642463391077,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.669028043,0.648166289538,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.675237894,0.653898459692,0,0,0,0,0.0,0.0,0.0,0.0
1555241127.681288957,0.659484056308,0,0,0,0,0.0,0.0,0.0,0.0
