stamp,time,ax,ay,vx,vy,px,py,gz,yaw
1556457486.41872024,0.009219756,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.51867961,0.0184467747692,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.61902046,0.0277090070769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.71882963,0.0369221612308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.81918001,0.0461852732308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.91602087,0.0551244295385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.101890087,0.0646210449231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.111881017,0.0738434418462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.121879100,0.0830724415385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.131891012,0.0923142064615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.141897916,0.101551348615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.151871919,0.110758120615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.161871910,0.119988881538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.171885013,0.129231745846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.183001041,0.139492694769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.193842887,0.149500552615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.203562974,0.158472940615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.212606906,0.166821185538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.222673892,0.176113788,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.232084989,0.184800954462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.242499113,0.194413992,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.252425909,0.203577188308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.262378931,0.212764593231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.272500991,0.222108033231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.282377958,0.231225233538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.292388916,0.240466117846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.302305936,0.249620290154,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.312351942,0.258893526462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.322642087,0.268392121846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.332402944,0.277402143692,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.342355966,0.286589548615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.352310895,0.295778713846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.362471103,0.305157367385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.372262001,0.314195119385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.382463932,0.323612286462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.392406940,0.332790447692,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.402343988,0.341963107385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.412348985,0.351198489231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.422586917,0.360648888,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.432394981,0.369702485538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.442364931,0.378905516308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.452889919,0.388620889846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.462502002,0.397493581846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.473229885,0.407396243077,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.481966018,0.415460365846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.492403030,0.425094530769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.502448081,0.434366885538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.512156009,0.443328049846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.522485017,0.452862518769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.531888008,0.461542202769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.541888952,0.470773843385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.551873922,0.479990738769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.560136079,0.487617345231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.572004079,0.498572422154,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.581912994,0.507719112923,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.591881990,0.516921263077,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.601887941,0.526157525538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.612309932,0.535777824923,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.622400999,0.545092656,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.631870985,0.553834181538,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.641886949,0.563079686769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.651870012,0.572294821846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.661899089,0.581552431385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.671989917,0.590867041846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.681901931,0.600016593231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.691865921,0.609214122462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.700450897,0.617138715692,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.712146997,0.627935115692,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.721982002,0.637013581846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.731897115,0.646165993846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.741878986,0.655380028615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.753938913,0.666512268923,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.761871099,0.673834286769,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.772018909,0.683201496,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.781877040,0.692301309231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.795325994,0.704715728308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.802470922,0.711311046462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.811875104,0.719991829846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.822254896,0.729573176308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.831903934,0.738479980615,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.841901063,0.747708099692,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.851871013,0.756911130462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.861977100,0.766239826154,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.872380971,0.775843399385,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.881875991,0.784608033231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.891864061,0.793827790154,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.901863098,0.803057670462,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.911891937,0.812315060308,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.922000885,0.821646396923,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.930366992,0.829368957231,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.941870927,0.839987974154,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.951891899,0.849238102154,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.961896896,0.858473484,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.971990108,0.867790295077,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.981875896,0.876915637846,0,0,0,0,0.0,0.0,0.0,0.0
1556457486.991852998,0.886125270462,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.1852035,0.895355150769,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.11851072,0.904585031077,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.21986007,0.913940355692,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.31888008,0.923080664308,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.41874885,0.93229932,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.51901102,0.941554289538,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.61903953,0.950787690462,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.71746110,0.959872758462,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.81927061,0.969270559385,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.92322111,0.978865990154,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.102313995,0.988089267692,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.112375974,0.997377248308,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.120330095,1.00471951385,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.132102012,1.01558589877,0,0,0,0,0.0,0.0,0.0,0.0
1556457487.141902923,1.02463289354,0,0,0,0,0.0,0.0,0.0,0.0
